SalePeriod,SaleDate,SalesPeriodType,Industry,DataType,ProductCategoryName,Quantity,Units,TOTAL_$
2001-01-01 - 2026-04-12,2021-07-17,Historical,Adult-Use,Delivery Operators,Infused (edible),1.0,1,25.0
2001-01-01 - 2026-04-12,2021-07-17,Historical,Adult-Use,Delivery Operators,Raw Pre-Rolls,17.5,5,291.7
2001-01-01 - 2026-04-12,2021-07-18,Historical,Adult-Use,Delivery Couriers,Buds,87.8,35,1214.0
2001-01-01 - 2026-04-12,2021-07-18,Historical,Adult-Use,Delivery Couriers,Concentrate (Each),2.0,2,91.0
2001-01-01 - 2026-04-12,2021-07-18,Historical,Adult-Use,Delivery Couriers,Infused (edible),23.0,19,469.15
2001-01-01 - 2026-04-12,2021-07-18,Historical,Adult-Use,Delivery Couriers,Infused (non-edible),5.0,3,100.0
2001-01-01 - 2026-04-12,2021-07-18,Historical,Adult-Use,Delivery Couriers,Raw Pre-Rolls,21.0,7,318.32
2001-01-01 - 2026-04-12,2021-07-18,Historical,Adult-Use,Delivery Couriers,Vape Product,14.0,12,525.0
2001-01-01 - 2026-04-12,2021-07-19,Historical,Adult-Use,Delivery Couriers,Buds,86.6,24,1227.08
2001-01-01 - 2026-04-12,2021-07-19,Historical,Adult-Use,Delivery Couriers,Concentrate (Each),8.0,7,395.0
2001-01-01 - 2026-04-12,2021-07-19,Historical,Adult-Use,Delivery Couriers,Infused (edible),20.0,19,538.5
2001-01-01 - 2026-04-12,2021-07-19,Historical,Adult-Use,Delivery Couriers,Infused Pre-Rolls,1.5,2,40.0
2001-01-01 - 2026-04-12,2021-07-19,Historical,Adult-Use,Delivery Couriers,Kief,5.3,1,30.0
2001-01-01 - 2026-04-12,2021-07-19,Historical,Adult-Use,Delivery Couriers,Raw Pre-Rolls,5.75,2,78.0
2001-01-01 - 2026-04-12,2021-07-19,Historical,Adult-Use,Delivery Couriers,Vape Product,23.0,17,1460.0
2001-01-01 - 2026-04-12,2021-07-20,Historical,Adult-Use,Delivery Couriers,Buds,128.0,38,1839.13
